日期,結算日,當次月大台留倉差增減,加權指數,加權指數漲跌,加權指數漲跌幅(%), 外資BC口數 , 外資BC金額 , 外資SC口數 , 外資SC金額 ,外資(SC增幅-BC增幅)金額,外資BC/SC增幅比例, 外資BP口數 , 外資BP金額 , 外資SP口數 , 外資SP金額 ,外資(SP增幅-BP增幅)金額,外資BP/SP增幅比例, 自營BC口數 , 自營BC金額 , 自營SC口數 , 自營SC金額 ,自營(SC增幅-BC增幅)金額,自營BC/SC增幅比例, 自營BP口數 , 自營BP金額 , 自營SP口數 , 自營SP金額 ,自營(SP增幅-BP增幅)金額,自營BP/SP增幅比例
2022/1/3,1,-451,18270.51,51.67,0.28," 35,992 "," 375,504 "," 27,229 "," 375,717 ",-22604,1.60%," 57,126 "," 161,633 "," 27,548 "," 93,585 ",-27193,-1.48%," 45,339 "," 399,195 "," 43,868 "," 419,025 ",-7619,1.63%," 50,752 "," 106,179 "," 51,493 ",133835,30838,-0.54%
2022/1/4,2,2025,18526.35,255.84,1.38," 51,253 "," 651,796 "," 28,512 "," 561,058 ",-90951,1.49%," 61,941 "," 118,379 "," 27,599 "," 60,108 ",9777,0.75%," 54,325 "," 633,541 "," 50,919 "," 592,863 ",-60508,1.42%," 56,532 "," 85,672 "," 65,158 ",94479,-18849,0.66%
2022/1/5,3,-743,18499.96,-26.39,-0.14," 47,752 "," 560,431 "," 26,568 "," 514,157 ",44464,1.68%," 56,952 "," 125,417 "," 26,216 "," 69,977 ",2831,0.36%," 47,524 "," 537,366 "," 50,706 "," 556,463 ",59775,2.47%," 39,402 "," 99,795 "," 44,198 ",113346,4744,0.83%
2022/1/6,4,-4610,18367.92,-132.04,-0.72," 49,722 "," 448,445 "," 29,437 "," 428,684 ",26513,1.20%," 63,335 "," 204,287 "," 27,633 "," 109,757 ",-39090,1.11%," 53,406 "," 479,475 "," 58,247 "," 494,913 ",-3659,0.97%," 49,035 "," 184,587 "," 53,208 ",203805,5667,1.06%
2022/1/7,5,-3369,18169.76,-198.16,-1.09," 48,170 "," 293,905 "," 33,091 "," 316,443 ",42299,1.32%," 63,689 "," 278,619 "," 29,865 "," 161,414 ",-22675,0.77%," 55,207 "," 375,597 "," 69,746 "," 411,204 ",20169,1.28%," 55,832 "," 307,027 "," 55,809 ",313720,-12525,1.23%
2022/1/10,1,-1289,18239.38,69.62,0.38," 47,091 "," 308,396 "," 33,629 "," 365,215 ",34281,0.32%," 63,455 "," 191,312 "," 29,461 "," 107,256 ",33149,0.93%," 61,983 "," 458,900 "," 71,566 "," 460,425 ",-34082,1.85%," 63,600 "," 226,661 "," 56,988 ",207842,-25512,0.78%
2022/1/11,2,-2661,18288.21,48.83,0.27," 47,083 "," 325,158 "," 37,063 "," 406,866 ",24889,0.48%," 68,192 "," 192,500 "," 31,192 "," 116,735 ",8291,0.07%," 65,765 "," 468,257 "," 77,365 "," 475,934 ",6152,0.61%," 72,572 "," 215,348 "," 59,856 ",188878,-7651,0.55%
2022/1/12,3,-4547,18375.4,87.19,0.47," 44,612 "," 372,439 "," 32,764 "," 461,592 ",7445,1.08%," 71,017 "," 169,171 "," 29,317 "," 93,817 ",411,0.62%," 41,215 "," 424,890 "," 50,126 "," 465,943 ",33376,4.41%," 47,028 "," 109,225 "," 41,737 ",120987,38232,1.37%
2022/1/13,4,-2126,18436.93,61.53,0.33," 45,703 "," 405,406 "," 34,052 "," 508,002 ",13443,0.88%," 75,917 "," 166,931 "," 31,053 "," 95,985 ",4408,-0.57%," 54,300 "," 482,018 "," 54,981 "," 489,706 ",-33365,2.64%," 47,513 "," 83,171 "," 48,411 ",135024,40091,-2.06%
2022/1/14,5,-10362,18403.33,-33.6,-0.18," 45,129 "," 347,331 "," 35,371 "," 444,663 ",-5264,1.15%," 77,899 "," 192,190 "," 33,907 "," 122,294 ",1050,0.55%," 53,846 "," 434,182 "," 70,722 "," 464,232 ",22362,1.91%," 54,192 "," 164,210 "," 48,822 ",156056,-60007,6.26%
2022/1/17,1,-33930,18525.44,122.11,0.66," 45,473 "," 426,926 "," 33,325 "," 561,859 ",37601,0.87%," 78,552 "," 148,277 "," 35,129 "," 96,058 ",17677,1.07%," 63,977 "," 562,774 "," 70,918 "," 536,995 ",-55829,1.89%," 53,253 "," 122,051 "," 59,681 ",173300,59403,-2.32%
2022/1/18,2,-47161,18378.64,-146.8,-0.8," 44,584 "," 320,186 "," 33,853 "," 416,628 ",-38491,0.97%," 80,491 "," 202,754 "," 36,814 "," 140,709 ",-9826,0.79%," 57,399 "," 416,586 "," 71,088 "," 450,951 ",60144,1.62%," 60,221 "," 199,442 "," 62,105 ",233421,-17270,1.83%
2022/1/19,999,-25036,18227.46,-151.18,-0.83," 15,502 "," 123,478 "," 12,189 "," 128,946 ",-90974,0.89%," 34,302 "," 226,403 "," 18,327 "," 168,131 ",3773,0.60%," 36,598 "," 253,842 "," 30,123 "," 145,611 ",-142596,0.58%," 21,510 "," 191,282 "," 26,297 ",247412,22151,-0.68%
2022/1/20,4,123789,18218.28,-9.18,-0.05," 21,009 "," 157,878 "," 20,487 "," 192,429 ",29083,0.57%," 40,751 "," 214,322 "," 23,179 "," 180,918 ",24868,-0.70%," 42,812 "," 260,478 "," 34,987 "," 223,390 ",71143,0.05%," 43,818 "," 187,613 "," 36,261 ",226589,-17154,0.23%
2022/1/21,5,2454,17899.3,-318.98,-1.78," 23,439 "," 104,802 "," 22,787 "," 115,837 ",-23516,0.84%," 45,438 "," 371,822 "," 23,661 "," 301,583 ",-36835,1.10%," 47,922 "," 212,700 "," 50,379 "," 212,096 ",36484,3.63%," 43,356 "," 360,485 "," 35,930 ",372793,-26668,1.43%
2022/1/24,1,-2845,17989.04,89.74,0.5," 23,926 "," 116,694 "," 25,955 "," 128,985 ",1256,1.00%," 47,175 "," 318,078 "," 24,800 "," 265,236 ",17397,1.20%," 58,029 "," 248,914 "," 60,399 "," 253,612 ",5302,0.87%," 49,881 "," 297,494 "," 40,697 ",320410,10608,1.24%
2022/1/25,2,1327,17701.12,-287.92,-1.63," 26,483 "," 111,029 "," 28,977 "," 97,950 ",-25370,0.20%," 53,140 "," 567,214 "," 27,481 "," 446,466 ",-67906,1.15%," 55,095 "," 213,642 "," 74,325 "," 223,615 ",5275,1.20%," 52,483 "," 546,241 "," 36,573 ",476221,-92936,1.72%
2022/1/26,3,-4910,17674.4,-26.72,-0.15," 18,153 "," 106,408 "," 21,393 "," 76,018 ",-17311,0.19%," 45,443 "," 478,882 "," 23,214 "," 406,702 ",48568,1.75%," 36,577 "," 207,440 "," 37,418 "," 201,077 ",-16336,0.29%," 37,697 "," 440,936 "," 36,752 ",327197,-43719,0.62%
2022/2/7,1,-186,17900.3,225.9,1.26," 22,731 "," 148,316 "," 20,555 "," 69,015 ",-48911,-4.28%," 40,339 "," 199,706 "," 24,281 "," 190,505 ",62979,1.10%," 41,977 "," 222,356 "," 41,435 "," 244,011 ",28018,0.34%," 41,353 "," 227,601 "," 28,808 ",151228,37366,0.90%
2022/2/8,2,-964,17966.56,66.26,0.37," 28,135 "," 152,653 "," 21,949 "," 76,637 ",3285,0.26%," 44,131 "," 190,396 "," 26,860 "," 178,742 ",-2453,0.75%," 57,621 "," 232,604 "," 46,546 "," 235,388 ",-18871,-1.30%," 50,404 "," 218,277 "," 36,880 ",156477,14573,-1.18%
2022/2/9,3,51,18151.76,185.2,1.02," 28,664 "," 206,758 "," 21,122 "," 117,283 ",-13459,0.67%," 46,247 "," 127,205 "," 26,438 "," 103,819 ",-11732,0.79%," 44,057 "," 273,051 "," 40,823 "," 298,670 ",22835,0.65%," 42,707 "," 155,394 "," 28,654 ",105805,12211,0.89%
