日期,結算日,當次月大台留倉差增減,加權指數,加權指數漲跌,加權指數當日高低差,加權指數漲跌幅(%),加權指數成交量(億),融資金額(仟元),融資金額變化量,融券(交易單位),融券單位變化量,PCR與結算比,外資現貨買賣超,外資(大小台)期貨未平倉,外資期貨未平倉與結算比,外資期貨未平倉與前日增減,外資(買)OP未平倉口數,外資(買)OP未平倉金額,外資(BC)OP未平倉金額與結算比,外資(賣)OP未平倉口數,外資(賣)OP未平倉金額,外資(BP)OP未平倉金額與結算比,外資買方買權/賣權比,外資買權/賣權比,自營(自行)現貨買賣超,自營(避險)現貨買賣超,自營(大小台)期貨未平倉,自營(買)OP未平倉口數,自營(買)OP未平倉金額,自營(BC)OP未平倉金額與結算比,自營(賣)OP未平倉口數,自營(賣)OP未平倉金額,自營(BP)OP未平倉金額與結算比,自營買方買權/賣權比,散戶買/賣權比,散戶看多,散戶看空,當次月小台留倉差增減,散戶未平倉,微台散戶看多,微台散戶看空,微台散戶多空比,微台散戶未平倉
2022/1/3,1,-451,18270.51,51.67,141.22,0.28,3311.4,2824.5,2.27,477111,-6782,1.74,155.26,-23736,2726,1113,8763,-213,276127,29578,68048,-226357,2.323,0.003,19.68,-8.14,15194,1471,-19830,194697,-741,-27656,-15533,3.76,0.496,36762,40641,-1019,-3879,0,0,0,0
2022/1/4,2,2025,18526.35,255.84,131.21,1.38,3355.7,2835.77,11.28,476455,-656,17.62,257.07,-22344,4118,1392,22741,90738,552419,34342,58271,-269611,5.506,1.557,9.43,7.41,15909,3406,40678,429043,-8626,-8807,-36040,7.395,2.657,39104,46821,3886,-7717,0,0,0,0
2022/1/5,3,-743,18499.96,-26.39,173.09,-0.14,3434.53,2843.48,7.72,472606,-3849,-4.9,93.53,-22613,3849,-269,21184,46274,461054,30736,55440,-262573,4.469,0.835,5.77,-14.22,15790,-3182,-19097,332868,-4796,-13551,-21917,5.385,0.649,39140,42881,-2728,-3741,0,0,0,0
2022/1/6,4,-4610,18367.92,-132.04,173.33,-0.72,3010.54,2841.01,-2.48,470429,-2177,-12.42,-73.93,-21297,5165,1316,20285,19761,349068,35702,94530,-183703,2.195,0.209,-4.42,-34,13950,-4841,-15438,274977,-4173,-19218,62875,2.598,0.057,34448,38180,-6056,-3732,0,0,0,0
2022/1/7,5,-3369,18169.76,-198.16,309.71,-1.09,3304.14,2812.51,-28.5,460986,-9443,-22.06,-132.33,-26192,270,-4895,15079,-22538,194528,33824,117205,-109371,1.055,0.192,-7.51,-15.28,13580,-14539,-35607,171099,23,-6693,185315,1.223,0.526,39109,35867,-1723,3242,0,0,0,0
2022/1/10,1,-1289,18239.38,69.62,199.29,0.38,2750.84,2810.34,-2.19,462341,1355,-16.13,-52.76,-24004,2458,2188,13462,-56819,209019,33994,84056,-196678,1.612,0.676,-12.87,-12.17,14785,-9583,-1525,254402,6612,18819,104949,2.025,0.567,35178,37633,-2045,-2455,0,0,0,0
2022/1/11,2,-2661,18288.21,48.83,158.1,0.27,3092.25,2786.85,-23.49,454602,-7739,-15.77,22.29,-28542,-2080,-4538,10020,-81708,225781,37000,75765,-195490,1.689,1.078,-6.24,-27.47,15619,-11600,-7677,263759,12716,26470,93636,2.174,0.874,37343,33414,-3010,3929,0,0,0,0
2022/1/12,3,-4547,18375.4,87.19,139.32,0.47,2901.5,2771.24,-15.61,454884,282,-8.66,127.54,-27947,-1485,595,11848,-89153,273062,41700,75354,-218819,2.202,1.183,2.66,-13.8,15920,-8911,-41053,220392,5291,-11762,-12487,3.89,2.048,37381,35495,845,1886,0,0,0,0
2022/1/13,4,-2126,18436.93,61.53,112.92,0.33,2816.23,2762.3,-8.95,454685,-199,-5.08,174.47,-24618,1844,3329,11651,-102596,306029,44864,70946,-221059,2.429,1.446,-1.17,-10.09,14631,-681,-7688,277520,-898,-51853,-38541,5.796,5.776,37707,40471,740,-2764,0,0,0,0
2022/1/14,5,-10362,18403.33,-33.6,295.56,-0.18,3387.2,2737.61,-24.69,434108,-20577,-17.94,152.79,-25756,706,-1138,9758,-97332,247954,43992,69896,-195800,1.807,1.393,-26.93,-48.75,15636,-16876,-30050,229684,5370,8154,42498,2.644,1.632,35764,34773,-7839,991,0,0,0,0
